"Str1","freq"
"said",838
"one",818
"like",767
"time",740
"get",717
"year",681
"just",667
"can",601
"go",594
"day",509
"make",505
"work",463
"new",442
"now",431
"say",429
"peopl",427
"im",424
"want",419
"good",416
"know",416
"love",406
"look",392
"two",392
"think",389
"use",386
"also",376
"back",374
"first",356
"see",353
"us",352
"thing",347
"come",344
"take",342
"need",340
"way",335
"last",332
"much",323
"well",306
"even",300
"’s",293
"dont",291
"start",291
"mani",282
"realli",282
"play",278
"right",263
"still",263
"week",258
"“",254
"littl",250
"state",249
"tri",249
"call",247
"great",247
"life",245
"show",242
"thank",241
"school",240
"today",232
"got",225
"game",222
"made",222
"citi",221
"never",220
"home",217
"feel",211
"live",211
"point",210
"place",208
"team",208
"world",208
"follow",207
"give",206
"includ",205
"may",204
"run",203
"three",201
"big",199
"help",198
"–",197
"end",195
"around",192
"alway",189
"anoth",188
"keep",188
"lot",188
"old",184
"let",182
"hope",181
"sinc",181
"friend",178
"night",178
"book",177
"everi",177
"high",175
"month",175
"best",174
"long",173
"find",171
"read",171
"chang",170
"put",169
"someth",168
"part",166
"man",165
"—",162
"next",162
"open",161
"famili",160
"ask",159
"plan",159
"better",157
"stori",157
"watch",157
"report",156
"move",150
"season",150
"talk",149
"kid",148
"second",148
"differ",146
"person",146
"thought",146
"hand",145
"turn",145
"free",144
"hous",144
"tell",142
"away",139
"seem",139
"set",139
"sure",137
"that",134
"hour",131
"head",129
"minut",129
"happi",128
"compani",127
"final",127
"job",126
"left",126
"cant",125
"u",125
"write",125
"found",124
"money",124
"million",123
"offer",123
"though",123
"mean",121
"post",121
"name",120
"pm",120
"face",118
"win",117
"group",116
"everyon",114
"god",114
"happen",114
"learn",114
"meet",114
"rt",114
"guy",113
"ive",113
"offic",113
"someon",113
"believ",112
"cut",112
"music",112
"top",112
"actual",111
"children",111
"cours",111
"ever",111
"nation",111
"might",110
"must",110
"public",110
"case",109
"four",109
"interest",109
"percent",109
"student",109
"togeth",109
"without",109
"yet",109
"care",108
"lol",108
"st",108
"th",108
"pleas",107
"question",107
"wait",107
"busi",106
"ill",106
"number",106
"area",105
"bad",105
"blog",105
"build",105
"creat",105
"idea",105
"didnt",104
"far",104
"hit",104
"room",104
"kind",103
"pretti",103
"program",103
"took",103
"center",102
"miss",102
"polic",102
"sever",102
"ago",101
"becom",101
"continu",101
"don’t",101
"done",101
"enough",101
"leav",101
"project",101
"came",99
"share",99
"complet",98
"park",98
"provid",98
"told",98
"word",98
"bit",97
"hard",97
"line",97
"recent",97
"white",97
"base",96
"close",96
"food",96
"howev",96
"pay",96
"small",96
"stay",96
"add",95
"check",95
"fun",95
"girl",95
"later",95
"less",95
"manag",95
"power",95
"servic",95
"heart",94
"morn",94
"support",94
"went",94
"’m",93
"along",92
"pass",92
"pictur",92
"stop",92
"alreadi",91
"anyth",91
"counti",91
"enjoy",91
"friday",91
"least",91
"parti",91
"past",91
"presid",91
"s",91
"side",91
"bring",90
"hear",90
"hes",90
"countri",89
"eye",89
"five",89
"problem",89
"real",89
"decid",88
"develop",88
"water",88
"law",87
"light",87
"movi",87
"order",87
"wonder",87
"your",87
"car",86
"inform",86
"local",86
"market",86
"oh",86
"reason",86
"abl",85
"earli",85
"everyth",85
"hold",85
"receiv",85
"record",85
"allow",84
"communiti",84
"issu",84
"nice",84
"visit",84
"young",84
"begin",83
"offici",83
"pick",83
"player",83
"third",83
"univers",83
"deal",82
"fact",82
"finish",82
"rate",82
"serv",82
"sunday",82
"walk",82
"age",81
"film",81
"near",81
"product",81
"american",80
"boy",80
"card",80
"expect",80
"forward",80
"import",80
"noth",80
"possibl",80
"special",80
"”",79
"color",79
"cost",79
"design",79
"govern",79
"member",79
"’ve",78
"class",78
"clear",78
"court",78
"direct",78
"full",78
"increas",78
"late",78
"lead",78
"system",78
"whole",78
"accord",77
"buy",77
"cover",77
"experi",77
"perform",77
"quit",77
"ad",76
"requir",76
"street",76
"tonight",76
"certain",75
"drive",75
"event",75
"john",75
"save",75
"soon",75
"spend",75
"act",74
"almost",74
"break",74
"els",74
"list",74
"mind",74
"mother",74
"news",74
"phone",74
"parent",73
"perfect",73
"probabl",73
"red",73
"rememb",73
"forc",72
"health",72
"kill",72
"lost",72
"other",72
"six",72
"song",72
"sound",72
"unit",72
"larg",71
"march",71
"race",71
"relat",71
"saw",71
"understand",71
"’re",70
"april",70
"fall",70
"major",70
"often",70
"site",70
"weekend",70
"women",70
"yes",70
"bill",69
"caus",69
"form",69
"futur",69
"mayb",69
"there",69
"depart",68
"matter",68
"saturday",68
"beauti",67
"posit",67
"present",67
"sens",67
"bodi",66
"challeng",66
"coupl",66
"die",66
"doesnt",66
"former",66
"half",66
"piec",66
"price",66
"road",66
"black",65
"id",65
"true",65
"appear",64
"art",64
"chanc",64
"general",64
"listen",64
"monday",64
"rais",64
"singl",64
"success",64
"charg",63
"eat",63
"fan",63
"green",63
"natur",63
"note",63
"process",63
"round",63
"seen",63
"serious",63
"sometim",63
"stand",63
"summer",63
"usual",63
"colleg",62
"cool",62
"district",62
"histori",62
"onlin",62
"quick",62
"sale",62
"store",62
"comment",61
"doubl",61
"dream",61
"effect",61
"especi",61
"feder",61
"paper",61
"rather",61
"rest",61
"thursday",61
"total",61
"track",61
"wish",61
"consid",60
"control",60
"decis",60
"featur",60
"fight",60
"level",60
