"Str1","Str2","Str3","freq"
"happi","new","year",9
"ventimiglia","itali","hotel",9
"cant","wait","see",6
"let","us","know",6
"cant","wait","get",5
"look","forward","see",5
"new","york","citi",5
"osama","bin","laden",5
"regular","season","game",5
"’ve","got","plenti",4
"amazon","servic","llc",4
"empir","free","event",4
"feel","free","share",4
"got","plenti","option",4
"im","pretti","sure",4
"keep","mouth","shut",4
"last","year","said",4
"new","york","time",4
"past","three","year",4
"pleas","feel","free",4
"plenti","option","choos",4
"presid","barack","obama",4
"take","deep","breath",4
"year","old","boy",4
"year","old","daughter",4
"averag","point","rebound",3
"build","america","bond",3
"can","get","back",3
"cell","phone","tower",3
"coupl","year","ago",3
"cover","pot","cook",3
"creativ","common","licens",3
"deep","vein","thrombosi",3
"earn","run","averag",3
"eight","year","old",3
"execut","ed","fitzgerald",3
"feel","like","just",3
"first","time","sinc",3
"game","last","season",3
"game","pm","espn",3
"happi","mother","day",3
"hope","can","get",3
"just","like","everi",3
"let","know","think",3
"make","us","feel",3
"nation","weather","servic",3
"nativ","plant","nativ",3
"new","york","new",3
"peopl","dont","understand",3
"plant","nativ","root",3
"realli","realli","realli",3
"right","now","just",3
"said","phone","interview",3
"said","year","old",3
"say","year","old",3
"spend","much","time",3
"st","patrick’","day",3
"stay","home","mom",3
"superior","court","judg",3
"two","three","year",3
"two","year","ago",3
"us","district","judg",3
"use","social","media",3
"wall","street","journal",3
"women","percent","men",3
"–","can","hope",2
"’m","look","forward",2
"’re","cover","beat",2
"’s","almost","like",2
"’s","noth","wrong",2
"“","”","subject",2
"“everi","singl","time”",2
"“privat","religi","procession”",2
"”","said","“",2
"”","subject","chang",2
"£m","new","equiti",2
"<U+0001F60F>","’ve","got",2
"abl","afford","extra",2
"abus","victim","receiv",2
"academ","success","bennett",2
"act","behalf","son",2
"ad","averag","job",2
"addit","broth","add",2
"advertis","fee","advertis",2
"advertis","link","amazoncom",2
"afc","championship","game",2
"afghan","secur","forc",2
"ajnana","timirandhasya","jnananjana",2
"alexand","dawson","—",2
"alway","watch","movi",2
"amanda","pucella","third",2
"amazon","certain","content",2
"amazon","eu","associ",2
"amazon","eu","content",2
"amazonca","amazoncouk","amazond",2
"amazoncom","amazonca","amazoncouk",2
"amazoncouk","amazond","amazonfr",2
"amazond","amazonfr","amazonit",2
"amazonfr","amazonit","amazon",2
"amazonit","amazon","certain",2
"anarchist","studi","network",2
"andor","amazon","eu",2
"angel","unifi","school",2
"anoth","way","sweet",2
"anterior","cruciat","ligament",2
"anyth","fun","plan",2
