"Str1","Str2","freq"
"last","year",74
"year","old",71
"look","like",58
"new","york",55
"year","ago",48
"right","now",45
"feel","like",43
"high","school",42
"look","forward",36
"dont","know",35
"even","though",31
"last","week",31
"can","get",30
"first","time",30
"make","sure",30
"st","loui",30
"last","night",28
"cant","wait",27
"come","back",27
"im","go",27
"unit","state",27
"new","jersey",25
"two","year",25
"get","back",23
"just","like",23
"seem","like",23
"three","year",23
"im","sure",22
"dont","want",21
"everi","day",21
"let","know",21
"dont","think",20
"los","angel",20
"now","im",20
"mani","peopl",19
"one","day",19
"san","francisco",19
"thank","follow",19
"just","want",18
"everi","time",17
"last","month",17
"new","year",17
"thank","much",17
"cell","phone",16
"one","thing",16
"peopl","can",16
"realli","good",16
"said","“",16
"someon","els",16
"year","said",16
"can","make",15
"can","see",15
"last","season",15
"long","time",15
"three","time",15
"don’t","know",14
"go","back",14
"go","get",14
"good","morn",14
"jersey","citi",14
"just","get",14
"littl","bit",14
"next","week",14
"san","diego",14
"take","care",14
"week","ago",14
"get","readi",13
"good","thing",13
"let","go",13
"lot","peopl",13
"make","sens",13
"pretti","much",13
"school","district",13
"tri","get",13
"two","three",13
"dont","like",12
"first","round",12
"five","year",12
"friday","night",12
"just","go",12
"keep","go",12
"make","decis",12
"much","better",12
"next","time",12
"real","estat",12
"social","media",12
"think","im",12
"two","week",12
"want","get",12
"want","go",12
"way","get",12
"work","togeth",12
"don’t","think",11
"feel","free",11
"happi","new",11
"health","care",11
"ice","cream",11
"last","day",11
"last","time",11
"million","dollar",11
"month","ago",11
"mother","day",11
"one","time",11
"one","two",11
"put","togeth",11
"two","day",11
"want","keep",11
"best","friend",10
"can","also",10
"can","go",10
"can","help",10
"didnt","know",10
"famili","friend",10
"far","away",10
"feder","govern",10
"felt","like",10
"find","way",10
"four","year",10
"go","home",10
"go","make",10
"good","luck",10
"good","time",10
"happi","birthday",10
"hard","work",10
"id","like",10
"im","gonna",10
"just","look",10
"know","can",10
"let","us",10
"live","room",10
"look","back",10
"medic","center",10
"much","time",10
"next","year",10
"north","carolina",10
"offici","said",10
"one","one",10
"past","year",10
"peopl","dont",10
"polic","said",10
"regular","season",10
"said","hes",10
"said","one",10
"someth","like",10
"time","get",10
"vice","presid",10
"want","see",10
"whole","thing",10
"year","later",10
"’re","go",9
"around","world",9
"ask","question",9
"big","deal",9
"can","find",9
"e","mail",9
"everi","singl",9
"everyon","els",9
"first","day",9
"five","minut",9
"general","manag",9
"get","one",9
"give","away",9
"give","us",9
"im","just",9
"itali","hotel",9
"just","need",9
"just","one",9
"look","good",9
"make","feel",9
"mani","year",9
"much","like",9
"never","heard",9
"new","orlean",9
"next","day",9
"oliv","oil",9
"one","anoth",9
"one","can",9
"one","way",9
"peopl","like",9
"rais","money",9
"read","book",9
"sound","like",9
"stay","home",9
"stay","tune",9
"take","advantag",9
"time","time",9
"ventimiglia","itali",9
"wait","see",9
"wall","street",9
"year","now",9
"’s","just",8
"’ve","got",8
"“","think",8
"can","still",8
"chang","cours",8
"chief","execut",8
"day","can",8
"depart","transport",8
"dine","room",8
"everi","week",8
"everi","year",8
"first","place",8
"follow","back",8
"get","better",8
"good","news",8
"great","day",8
"hope","enjoy",8
"im","glad",8
"jesus","christ",8
"join","us",8
"just","love",8
"like","get",8
"long","term",8
"love","see",8
"mani","time",8
"mobil","phone",8
"much","fun",8
"need","get",8
"next","season",8
"one","point",8
"one","year",8
"play","game",8
"polic","offic",8
"public","school",8
"real","life",8
"realli","like",8
"realli","love",8
"realli","want",8
"six","month",8
"someth","els",8
"take","place",8
"tell","us",8
"thing","like",8
"time","sinc",8
"tri","make",8
"turn","back",8
"two","run",8
"work","hard",8
"your","go",8
"youv","got",8
"’d","like",7
"“","”",7
"abl","make",7
"along","way",7
"also","love",7
"around","pm",7
"bad","day",7
"bring","back",7
"can","come",7
"can","say",7
"can","tell",7
"can","use",7
"cant","believ",7
"co","worker",7
"common","sens",7
"coupl","day",7
"doesnt","matter",7
"dont","even",7
"door","open",7
"earlier","year",7
"execut","director",7
"famili","member",7
"go","see",7
"good","friend",7
"great","way",7
"help","make",7
"higher","educ",7
"hope","get",7
"ive","got",7
"just","dont",7
"just","finish",7
"just","right",7
"just","saw",7
"just","two",7
"kansa","citi",7
"last","minut",7
"late","night",7
"later","year",7
"like","just",7
"like","see",7
"love","one",7
"make","us",7
"mani","differ",7
"mid","s",7
"one","man",7
"open","eye",7
"park","lot",7
"per","year",7
"preheat","oven",7
"presid","obama",7
"pretti","sure",7
"public","safeti",7
"recent","year",7
"run","back",7
"said","dont",7
"said","today",7
"said","want",7
"say","“",7
"scienc","fiction",7
"see","can",7
"sever","month",7
"short","term",7
"sinc","last",7
"six","year",7
"spend","time",7
"take","pictur",7
"th","centuri",7
"thing","happen",7
"time","one",7
"time","year",7
"took","place",7
"tri","find",7
"tv","show",7
"us","know",7
"way","around",7
"way","back",7
"weve","got",7
"what","happen",7
"whip","cream",7
"’m","sure",6
"’s","also",6
"’s","right",6
"’ve","never",6
"“","know",6
"across","countri",6
"act","like",6
"also","said",6
"alway","want",6
"anoth","day",6
"anyon","know",6
"associ","press",6
"averag","point",6
"barack","obama",6
"best","player",6
"bin","laden",6
"citi","council",6
"cloth","diaper",6
"compani","said",6
"coupl","year",6
"creat","new",6
"credit","card",6
"didnt","get",6
"distress","ink",6
"first","two",6
"game","play",6
"get","home",6
"get","know",6
"get","peopl",6
"get","rid",6
"get","work",6
"go","bed",6
"go","forward",6
"go","take",6
"go","tri",6
"good","bad",6
"good","job",6
"great","idea",6
"great","time",6
"great","weekend",6
"hope","can",6
"hope","see",6
"id","never",6
"im","excit",6
"im","feel",6
"im","pretti",6
"im","realli",6
"im","tire",6
"ive","never",6
"just","anoth",6
"just","got",6
"know","exact",6
"know","go",6
"know","just",6
"know","need",6
"law","enforc",6
"like","everi",6
"like","go",6
"like","im",6
"like","one",6
"lot","fun",6
"love","stori",6
"mani","other",6
"million","year",6
"minor","leagu",6
"move","forward",6
"much","money",6
"much","need",6
"need","know",6
"never","know",6
"never","thought",6
"new","one",6
"northeast","ohio",6
"now","can",6
"now","just",6
"now","said",6
"ohio","state",6
"old","time",6
"one","best",6
"one","hand",6
"one","love",6
"one","person",6
"open","door",6
"orang","counti",6
"peanut","butter",6
"peopl","get",6
"peopl","say",6
"per","day",6
"pm","friday",6
"point","rebound",6
"polic","depart",6
"polic","report",6
"post","pictur",6
"pretti","good",6
"realli","realli",6
"realli","well",6
"right","back",6
"right","thing",6
"s","s",6
"second","half",6
"show","us",6
"small","town",6
"social","network",6
"spring","break",6
"start","get",6
"start","new",6
"still","tri",6
"suprem","court",6
"task","forc",6
"team","member",6
"tell","stori",6
"thank","god",6
"thank","im",6
"thing","can",6
"thing","go",6
"thing","just",6
"think","’s",6
"think","get",6
"think","just",6
"think","make",6
"think","need",6
"three","four",6
"three","month",6
"time","around",6
"time","well",6
"train","program",6
"tri","keep",6
"two","thing",6
"us","one",6
"valentin","day",6
"wait","get",6
"want","abl",6
"want","give",6
"want","know",6
"want","make",6
"want","put",6
"watch","movi",6
"way","meet",6
"well","said",6
"white","hous",6
"wide","receiv",6
"work","well",6
"year","come",6
"year","year",6
"yet","anoth",6
"’m","go",5
"’m","realli",5
"’m","still",5
"’s","noth",5
"’s","realli",5
"“","time",5
"also","like",5
"alway","thought",5
"alway","tri",5
"american","peopl",5
"anoth","great",5
"anyon","els",5
"anyth","like",5
"art","museum",5
"athlet","director",5
"back","forth",5
"best","thing",5
"can","add",5
"can","alway",5
"can","bring",5
"can","rememb",5
"can","take",5
"cant","keep",5
"championship","game",5
"close","eye",5
"communiti","center",5
"continu","work",5
"counti","execut",5
"counti","offici",5
"cut","strip",5
"day","celebr",5
"day","day",5
"day","get",5
"day","go",5
"day","just",5
"day","love",5
"day","week",5
"decad","ago",5
"deep","breath",5
"didnt","make",5
"don’t","want",5
"don’t","worri",5
"dont","just",5
"dont","miss",5
"dont","tell",5
"dont","understand",5
"earli","s",5
"east","orang",5
"eight","year",5
"either","way",5
"elementari","school",5
"end","day",5
"ever","sinc",5
"everi","minut",5
"everi","night",5
"everyday","life",5
"facebook","page",5
"fall","apart",5
"farmer","market",5
"feel","bad",5
"feel","better",5
"feel","good",5
"find","someth",5
"first","half",5
"first","year",5
"follow","follow",5
"forward","see",5
"four","month",5
"free","event",5
"friend","famili",5
"general","assembl",5
"get","excit",5
"get","much",5
"get","older",5
"get","point",5
"get","see",5
"go","go",5
"golf","cours",5
"good","idea",5
"good","look",5
"good","one",5
"good","reason",5
"got","first",5
"hard","time",5
"health","insur",5
"hey","guy",5
"hold","hand",5
"hope","everyon",5
"im","look",5
"im","love",5
"im","sorri",5
"im","talk",5
"iron","man",5
"job","growth",5
"just","happen",5
"just","littl",5
"just","say",5
"keep","thing",5
"know","think",5
"know","want",5
"know","well",5
"last","fall",5
"last","two",5
"learn","experi",5
"least","two",5
"leav","comment",5
"left","hand",5
"like","know",5
"like","mani",5
"littl","girl",5
"long","ago",5
"lot","thing",5
"love","life",5
"love","much",5
"love","watch",5
"make","fun",5
"make","mistak",5
"make","think",5
"make","work",5
"man","woman",5
"manag","get",5
"medic","school",5
"might","just",5
"mile","away",5
"mitt","romney",5
"monday","night",5
"much","less",5
"ncaa","tournament",5
"need","make",5
"news","confer",5
"next","door",5
"nfl","draft",5
"noth","wrong",5
"now","’s",5
"now","live",5
"number","peopl",5
"offici","say",5
"oh","god",5
"oh","yeah",5
"old","daughter",5
"old","fashion",5
"old","man",5
"old","school",5
"one","came",5
"one","come",5
"one","favorit",5
"one","hope",5
"one","just",5
"one","mani",5
"one","minut",5
"one","night",5
"one","side",5
"one","third",5
"open","space",5
"option","choos",5
"osama","bin",5
"part","time",5
"pass","away",5
"past","three",5
"past","two",5
"past","week",5
"pay","attent",5
"peopl","take",5
"peopl","want",5
"phone","call",5
"pit","bull",5
"play","hard",5
"pleas","feel",5
"pm","espn",5
"pm","saturday",5
"point","guard",5
"polic","chief",5
"pork","belli",5
"prime","minist",5
"public","health",5
"put","asid",5
"read","blog",5
"readi","go",5
"real","world",5
"realli","enjoy",5
"realli","help",5
"realli","just",5
"recidiv","rate",5
"red","pepper",5
"road","trip",5
"rt","just",5
"run","away",5
"said","go",5
"said","know",5
"said","peopl",5
"said","that",5
"san","antonio",5
"say","get",5
"say","hes",5
"say","peopl",5
"say","someth",5
"say","thing",5
"school","year",5
"season","game",5
"second","time",5
"secur","forc",5
"see","man",5
"see","one",5
"sent","messag",5
"sever","time",5
"sinc","start",5
"six","week",5
"smell","like",5
"someth","new",5
"south","african",5
"st","centuri",5
"star","war",5
"start","work",5
"still","get",5
"still","need",5
"take","long",5
"take","respons",5
"take","time",5
"tast","like",5
"tax","increas",5
"ten","year",5
"thank","everyon",5
"thank","rt",5
"thing","make",5
"think","time",5
"thought","id",5
"three","differ",5
"three","run",5
"time","even",5
"time","lol",5
"time","play",5
"time","think",5
"two","hour",5
"two","minut",5
"two","month",5
"two","peopl",5
"two","third",5
"two","time",5
"u","need",5
"unit","nation",5
"us","district",5
"us","militari",5
"walk","around",5
"want","take",5
"washington","dc",5
"well","im",5
"well","known",5
"well","now",5
"work","get",5
"world","war",5
"write","book",5
"year","sinc",5
"year","state",5
"york","citi",5
"young","children",5
"young","peopl",5
"your","look",5
"–","can",4
"’ll","never",4
"’s","easi",4
"’s","great",4
"’s","like",4
"’s","pretti",4
"’ve","ever",4
"’ve","read",4
"“","realli",4
"“","want",4
"“","way",4
"”","said",4
"act","rebellion",4
"action","sequenc",4
"air","forc",4
"almost","everi",4
"almost","like",4
"alreadi","made",4
"also","allow",4
"also","found",4
"also","look",4
"also","need",4
"also","take",4
"also","think",4
"also","use",4
"alway","like",4
"alway","make",4
"amanda","pucella",4
"amazon","eu",4
"amazon","servic",4
"amount","money",4
"anderson","said",4
"anyth","els",4
"april","th",4
"around","corner",4
"around","us",4
"ashley","pucella",4
"ask","time",4
"atlant","citi",4
"award","win",4
"back","get",4
"back","home",4
"bad","thing",4
"bake","minut",4
"bay","area",4
"becom","one",4
"best","way",4
"big","day",4
"big","east",4
"big","news",4
"big","pictur",4
"black","white",4
"blog","post",4
"bottom","line",4
"boy","girl",4
"breast","cancer",4
"busi","week",4
"call","feel",4
"came","across",4
"came","back",4
"can","actual",4
"can","ask",4
"can","buy",4
"can","call",4
"can","keep",4
"can","manag",4
"can","never",4
"can","talk",4
"can","u",4
"cant","find",4
"captain","america",4
"card","stock",4
"chanc","win",4
"chicken","broth",4
"child","abus",4
"chines","food",4
"civil","war",4
"cleveland","clinic",4
"click","link",4
"come","along",4
"come","home",4
"come","see",4
"come","soon",4
"complet","differ",4
"convent","center",4
"cool","thing",4
"couldnt","get",4
"counti","sheriff",4
"coupl","month",4
"coupl","week",4
"court","judg",4
"creativ","common",4
"custom","servic",4
"cuyahoga","counti",4
"daili","life",4
"day","call",4
"day","dont",4
"day","one",4
"day","parad",4
"day","say",4
"day","use",4
"decid","whether",4
"defens","end",4
"dew","point",4
"didn’t","want",4
"didnt","think",4
"doesn’t","make",4
"doesnt","know",4
"don’t","like",4
"don’t","see",4
"dont","realli",4
"dont","take",4
"dont","usual",4
"dont","watch",4
"dont","worri",4
"drive","shoot",4
"dutch","oven",4
"ed","fitzgerald",4
"empir","free",4
"end","march",4
"enjoy","life",4
"even","consid",4
"even","good",4
